,Num,Type,Name,Address,Score,Phone
0,37696163,"매운탕,해물탕",회양과국수군,제주 서귀포시 대정읍 형제해안로 256,4.28,064-794-0154
1,38712171,양식,글라글라하와이,제주 서귀포시 대정읍 하모항구로 70,4.54,0507-1410-2737
2,13434137,생선회,미영이네식당,제주 서귀포시 대정읍 하모항구로 42,4.52,064-792-0077
3,1864290419,베이커리,인스밀,제주 서귀포시 대정읍 일과대수로27번길 22 1층,4.41,0507-1352-5661
4,13105260,생선회,부두식당,제주 서귀포시 대정읍 하모항구로 62 부두식당,4.31,064-794-1223
5,1256156460,"스파게티,파스타전문",트라몬토제주모슬포본점,제주 서귀포시 대정읍 하모항구로 38 트라몬토제주모슬포본점,4.87,0507-1492-2900
6,1153699096,"카페,디저트",미쁜제과,제주 서귀포시 대정읍 도원남로 16 미쁜제과,4.34,070-8822-9212
7,1287396500,일식당,나무식탁,제주 서귀포시 대정읍 도원로 214,4.63,070-4208-3858
8,38712171,양식,글라글라하와이,제주 서귀포시 대정읍 하모항구로 70,4.54,0507-1410-2737
9,1269576099,"카페,디저트",어린왕자감귤밭,제주 서귀포시 대정읍 추사로36번길 45-1,4.41,0507-1335-3132
10,11851700,생선회,만선식당,제주 서귀포시 대정읍 하모항구로 44 만선식당,4.41,0507-1315-6301
11,13444912,한식,옥돔식당,제주 서귀포시 대정읍 신영로36번길 62,4.39,064-794-8833
12,16934117,돼지고기구이,봉순이네흑돼지,제주 서귀포시 대정읍 영어도시로 64 1층,4.61,064-792-2030
13,1542639862,생선회,제주회포장물회 횟집학개론,제주 서귀포시 대정읍 영어도시로 26,4.78,0507-1352-7002
14,893312493,한식,큰돈가 본점,제주 서귀포시 대정읍 형제해안로 296,4.6,064-794-0722
15,37818122,"카페,디저트",와토커피,제주 서귀포시 대정읍 동일하모로 238,4.5,0507-1407-1452
16,1335081152,카페,사일리커피,제주 서귀포시 대정읍 최남단해안로 412,4.65,0507-1369-3382
17,1494501123,"카페,디저트",청춘부부,제주 서귀포시 대정읍 추사로38번길 181 1층,4.66,0507-1309-1529
18,1538689173,한식,덕승식당,제주 서귀포시 대정읍 하모항구로 66,4.33,064-794-0177
19,1495760775,생선회,김선장회센타,제주 서귀포시 대정읍 최남단해안로 37 1층,4.4,0507-1330-5412
20,1371105645,"카페,디저트",벨진밧,제주 서귀포시 대정읍 보성구억로 220-1,4.44,064-794-0121
21,13444899,한식,산방식당,제주 서귀포시 대정읍 하모이삼로 62,4.31,064-794-2165
22,1335081152,카페,사일리커피,제주 서귀포시 대정읍 최남단해안로 412,4.65,0507-1369-3382
23,1495760775,생선회,김선장회센타,제주 서귀포시 대정읍 최남단해안로 37 1층,4.4,0507-1330-5412
24,1288889499,베이커리,수애기베이커리,제주 서귀포시 대정읍 동일리 3137,4.41,064-792-7997
25,1958908459,퓨전음식,제주고로,제주 서귀포시 대정읍 서삼중로 94,4.69,0507-1312-9080
26,53528594,퓨전음식,체면,제주 서귀포시 대정읍 단산로 95 1층,4.61,0507-1443-4422
27,16938848,중식당,홍성방,제주 서귀포시 대정읍 하모항구로 76,4.5,064-794-9555
28,1561987598,돼지고기구이,마녀상회,제주 서귀포시 대정읍 무릉사장로 154,4.84,0507-1364-2052
29,1158867039,돼지고기구이,월정리갈비밥 서귀포점,제주 서귀포시 대정읍 영어도시로 56,4.48,0507-1425-1177
30,197191696,전복요리,한라전복,제주 서귀포시 대정읍 대한로 33,4.38,064-792-1313
31,1934499291,양식,스모크하우스인구억,제주 서귀포시 대정읍 보성구억로 223,4.7,0507-1480-8218
32,1254815919,브런치,트로피컬 하이드어웨이 카페,제주 서귀포시 대정읍 형제해안로 284 트로피컬 하이드어웨이,4.5,064-792-1461
33,1256723176,카페,크래커스 대정점,제주 서귀포시 대정읍 보성구억로126번길 34,4.5,064-792-8900
34,1572679688,베이커리,달코롬제주,제주 서귀포시 대정읍 영어도시로 77 102호,4.91,0507-1492-9998
35,1241448783,생선회,참방참방,제주 서귀포시 대정읍 신영로 77-4 1층,4.62,0507-1350-9890
36,13444934,생선회,수눌음,제주 서귀포시 대정읍 하모항구로 50 수눌음,4.55,064-794-0025
37,16938572,한식,돈지식당,제주 서귀포시 대정읍 하모항구로 60 돈지식당,4.48,064-794-8465
38,11848485,한식,올랭이와 물꾸럭,제주 서귀포시 대정읍 신영로 93-5,4.63,0507-1321-5022
39,1070422566,퓨전음식,산우,제주 서귀포시 대정읍 하모항구로6번길 28 2층,4.75,0507-1457-0243
40,1428696991,"카페,디저트",아베크아롬,제주 서귀포시 대정읍 영어도시로 22,4.9,0507-1338-6912
41,13175102,생선회,돈방석,제주 서귀포시 대정읍 하모항구로 22-13,4.54,064-794-1485
42,1144786194,"육류,고기요리",제주초계한우,제주 서귀포시 대정읍 일과대수로27번길 53-2 제주초계한우,4.82,0507-1350-7331
43,16937473,한식,영해식당,제주 서귀포시 대정읍 하모상가로 34-2 영해식당,4.59,064-794-2262
44,1041892062,양식,카우보이스테이크하우스,제주 서귀포시 대정읍 영어도시로 77-5 1층,4.83,064-792-1163
45,36924323,태국음식,반양,제주 서귀포시 대정읍 중산간서로 2985 반양,4.38,070-8883-8545
46,13444931,생선회,항구식당,제주 서귀포시 대정읍 하모항구로 64 항구식당,4.34,064-794-2254
47,1828057801,베이커리,소소희,제주 서귀포시 대정읍 영어도시로 27-2,4.49,0507-1409-1407
48,1109562905,돼지고기구이,돈어길,제주 서귀포시 대정읍 중산간서로 2274 C동 1층,4.98,0507-1387-6564
49,12070688,중식당,원조마라도해물짜장면집,제주 서귀포시 대정읍 마라로101번길 48,4.23,064-792-8506
50,37696163,"매운탕,해물탕",회양과국수군,제주 서귀포시 대정읍 형제해안로 256,4.28,064-794-0154
51,38712171,양식,글라글라하와이,제주 서귀포시 대정읍 하모항구로 70,4.54,0507-1410-2737
52,149286196,"칼국수,만두",형제섬보말칼국수,제주 서귀포시 대정읍 형제해안로 258,4.54,0507-1306-1906
