,Num,Type,Name,Address,Score,Phone
0,1485118707,일식당,초이다이닝,서울 마포구 동교로36길 3 지하1층,none,02-6951-5456
1,1744506906,일식당,수상한키친,서울 마포구 성미산로 190-31 1층 수상한 키친,4.77,0507-1471-0063
2,1275815754,이탈리아음식,비스트로 오라,서울 마포구 동교로 244 2층,4.88,0507-1481-3323
3,1753210391,"전통,민속주점",더다믐,서울 마포구 동교로38길 30 2층,4.83,0507-1358-7971
4,662179145,양식,다엔조 연남점,서울 마포구 연희로1길 59-2 1층,4.67,none
5,1565283628,"카페,디저트",아우프글렛 연남점,서울 마포구 성미산로31길 11 AUFGLET,4.45,02-336-7790
6,1690354455,"멕시코,남미음식",갓잇 연남점,서울 마포구 성미산로 161-13 1층,4.54,0507-1312-9451
7,85393054,와인,루나씨엘로,"서울 마포구 동교로34길 21 3, 4층 루나씨엘로",4.56,070-4110-3815
8,1655732599,양식,메종브리크,서울 마포구 동교로38길 27-19 2층 메종브리크,4.91,0507-1374-8708
9,1513690097,이탈리아음식,파델라,서울 마포구 연남로1길 11 1층,4.67,02-336-3396
10,1760281675,이탈리아음식,다옴383,서울 마포구 동교로38길 27-14 반지층 북쪽 다옴383,4.8,0507-1310-5383
11,1305337580,아시아음식,발리문,서울 마포구 동교로 248-1 2층,4.61,0507-1347-8328
12,1875624361,일식당,모츠모츠,서울 마포구 연남로3길 23 1층,4.59,0507-1349-3397
13,1436711710,베트남음식,포가레,서울 마포구 동교로 227-7 2층,4.52,0507-1352-4511
14,1000639701,"카페,디저트",미라지커피,서울 마포구 동교로 262-6 2층 202호,4.62,0507-1348-8586
15,12985100,기사식당,감나무집기사식당,서울 마포구 연남로 25,4.23,02-325-8727
16,1398031150,이탈리아음식,클래식당,서울 마포구 연희로1길 65 지층 클래식당,none,0507-1350-2243
17,1698847103,한식,솔솥 연남점,"서울 마포구 동교로38길 35 지1층 2호, 3호",4.52,070-8822-5846
18,1146426562,양식,해즈밀,서울 마포구 동교로46길 42-20 1층,4.38,0507-1423-3840
19,1034035546,"카페,디저트",야미케이크,서울 마포구 월드컵북로16길 53 야미케이크,4.48,0507-1309-4012
20,1924293105,덮밥,육구덮밥 연남본점,서울 마포구 성미산로 190-3 1층,4.47,070-8888-6969
21,1031219213,일본식라면,하쿠텐라멘,서울 마포구 동교로 266-12 반지하 왼쪽문,4.56,0507-1325-3758
22,1080811064,일식당,스시지현,서울 마포구 동교로 227-7 1층 스시지현,4.76,0507-1473-2022
23,1128364627,돈가스,경양카츠 연남점,서울 마포구 동교로 238-1,4.4,070-7543-5445
24,1668003266,일식당,연하동,서울 마포구 연남로 6,4.47,0507-1419-3781
25,1331305271,일식당,카쿠시타,서울 마포구 동교로38길 33-15,4.56,070-4187-8787
26,1411081677,카페,연남방앗간,서울 마포구 동교로29길 34,4.53,070-4200-2200
